date,region,mean_precip,mean_temp,min_temp,max_temp,price,quantity,inflated
1981-04-01,Santander,0.14680000000000004,70.85185185185185,63.0,82.0,130.2,1174.0,359.6714125412541
1981-04-01,Tolima,0.647,74.63636363636364,52.0,,130.2,1174.0,359.6714125412541
1981-04-01,Valle,0.25266666666666665,73.2,59.0,89.0,130.2,1174.0,359.6714125412541
1981-05-01,Cauca,0.15571428571428572,80.75,72.0,,127.92,1000.0,353.37301914191414
1981-05-01,Cesar,0.5117647058823528,82.11764705882354,72.0,,127.92,1000.0,353.37301914191414
1981-05-01,Cundinamarca,0.2596774193548387,56.774193548387096,44.0,69.0,127.92,1000.0,353.37301914191414
1981-05-01,Huila,0.32111111111111107,81.17857142857143,68.0,97.0,127.92,1000.0,353.37301914191414
1981-05-01,Magdalena,0.024210526315789474,83.57142857142857,68.0,91.0,127.92,1000.0,353.37301914191414
1981-05-01,Narino,0.1935483870967742,67.5,32.0,82.0,127.92,1000.0,353.37301914191414
1981-05-01,Quindio,0.30500000000000005,72.07692307692308,61.0,,127.92,1000.0,353.37301914191414
1981-05-01,Risaralda,0.5011764705882351,70.88235294117646,59.0,,127.92,1000.0,353.37301914191414
1981-05-01,Santander,0.2475,70.3,63.0,81.0,127.92,1000.0,353.37301914191414
1981-05-01,Tolima,0.4384999999999999,75.05,64.0,,127.92,1000.0,353.37301914191414
1981-05-01,Valle,0.21935483870967745,73.09677419354838,61.0,88.0,127.92,1000.0,353.37301914191414
1981-06-01,Cauca,0.492,78.81818181818181,72.0,,113.94,795.0,314.75392277227724
1981-06-01,Cesar,0.3992857142857143,83.0,72.0,,113.94,795.0,314.75392277227724
1981-06-01,Cundinamarca,0.10400000000000001,56.36666666666667,40.0,72.0,113.94,795.0,314.75392277227724
1981-06-01,Huila,0.0716,82.29629629629629,68.0,95.0,113.94,795.0,314.75392277227724
1981-06-01,Magdalena,0.005652173913043478,84.68,73.0,95.0,113.94,795.0,314.75392277227724
1981-06-01,Narino,0.069,67.44444444444444,55.0,79.0,113.94,795.0,314.75392277227724
1981-06-01,Quindio,0.2261904761904762,73.04761904761905,61.0,,113.94,795.0,314.75392277227724
1981-06-01,Risaralda,0.27615384615384614,70.6923076923077,61.0,,113.94,795.0,314.75392277227724
1981-06-01,Santander,0.06884615384615385,70.96296296296296,63.0,81.0,113.94,795.0,314.75392277227724
1981-06-01,Tolima,0.5488235294117647,75.88235294117646,64.0,,113.94,795.0,314.75392277227724
1981-06-01,Valle,0.09333333333333335,73.66666666666667,64.0,87.0,113.94,795.0,314.75392277227724
1981-07-01,Cauca,0.7514285714285714,81.0,72.0,,122.01,799.0,337.0469204620462
1981-07-01,Cesar,0.23476190476190475,84.36363636363636,72.0,,122.01,799.0,337.0469204620462
1981-07-01,Cundinamarca,0.039354838709677424,55.12903225806452,35.0,71.0,122.01,799.0,337.0469204620462
1981-07-01,Huila,0.06102040816326531,83.83018867924528,64.0,99.0,122.01,799.0,337.0469204620462
1981-07-01,Magdalena,0.11310344827586208,84.2,66.0,99.0,122.01,799.0,337.0469204620462
1981-07-01,Narino,0.07661290322580647,68.8,32.0,82.0,122.01,799.0,337.0469204620462
1981-07-01,Quindio,0.16166666666666668,73.88888888888889,57.0,,122.01,799.0,337.0469204620462
1981-07-01,Risaralda,0.09843750000000001,71.34375,59.0,,122.01,799.0,337.0469204620462
1981-07-01,Santander,0.1816326530612245,71.73076923076923,55.0,90.0,122.01,799.0,337.0469204620462
1981-07-01,Tolima,0.12,77.04761904761905,57.0,,122.01,799.0,337.0469204620462
1981-07-01,Valle,0.025,74.04838709677419,32.0,91.0,122.01,799.0,337.0469204620462
1981-08-01,,,,,,126.09,263.0,348.31772970297027
1981-09-01,Cauca,1.0619999999999998,81.9,70.0,,128.02,743.0,353.64926446644665
1981-09-01,Cesar,0.1991304347826087,83.82608695652173,70.0,,128.02,743.0,353.64926446644665
1981-09-01,Cundinamarca,0.06866666666666667,54.9,36.0,70.0,128.02,743.0,353.64926446644665
1981-09-01,Huila,0.0011111111111111111,86.0,72.0,100.0,128.02,743.0,353.64926446644665
1981-09-01,Magdalena,0.019473684210526317,83.55,72.0,91.0,128.02,743.0,353.64926446644665
1981-09-01,Narino,0.020000000000000004,70.14285714285714,53.0,81.0,128.02,743.0,353.64926446644665
1981-09-01,Quindio,0.14333333333333334,71.33333333333333,59.0,,128.02,743.0,353.64926446644665
1981-09-01,Risaralda,0.09619047619047622,71.76190476190476,59.0,,128.02,743.0,353.64926446644665
1981-09-01,Santander,0.05461538461538463,71.8076923076923,63.0,82.0,128.02,743.0,353.64926446644665
1981-09-01,Tolima,0.12062500000000001,78.29411764705883,54.0,,128.02,743.0,353.64926446644665
1981-09-01,Valle,0.07366666666666667,75.89285714285714,61.0,90.0,128.02,743.0,353.64926446644665
1981-10-01,Cauca,0.8181818181818182,80.04347826086956,72.0,,139.1,1417.0,384.2572464246424
1981-10-01,Cesar,0.202,83.76666666666667,70.0,,139.1,1417.0,384.2572464246424
1981-10-01,Cundinamarca,0.14967213114754094,55.47540983606557,36.0,71.0,139.1,1417.0,384.2572464246424
1981-10-01,Huila,0.12352941176470589,81.62857142857143,68.0,99.0,139.1,1417.0,384.2572464246424
1981-10-01,Magdalena,0.11523809523809524,83.27272727272727,72.0,95.0,139.1,1417.0,384.2572464246424
1981-10-01,Narino,0.2578688524590163,67.05882352941177,32.0,86.0,139.1,1417.0,384.2572464246424
1981-10-01,Quindio,0.24919999999999998,73.0,59.0,,139.1,1417.0,384.2572464246424
1981-10-01,Risaralda,0.45,71.33333333333333,59.0,,139.1,1417.0,384.2572464246424
1981-10-01,Santander,0.1598245614035087,70.63157894736842,61.0,81.0,139.1,1417.0,384.2572464246424
1981-10-01,Tolima,0.21769230769230768,74.725,63.0,,139.1,1417.0,384.2572464246424
1981-10-01,Valle,0.1852459016393443,73.22950819672131,32.0,89.0,139.1,1417.0,384.2572464246424
1981-11-01,,,,,,146.26,1919.0,404.0364116611661
1981-12-01,Cauca,1.2966666666666666,78.66666666666667,72.0,,144.17,1665.0,398.2628843784378
1981-12-01,Cesar,0.0,85.2,70.0,,144.17,1665.0,398.2628843784378
1981-12-01,Cundinamarca,0.03451612903225807,55.0,34.0,70.0,144.17,1665.0,398.2628843784378
1981-12-01,Huila,0.13846153846153847,81.29629629629629,70.0,95.0,144.17,1665.0,398.2628843784378
1981-12-01,Magdalena,0.0,83.0952380952381,70.0,93.0,144.17,1665.0,398.2628843784378
1981-12-01,Narino,0.19580645161290328,65.92857142857143,32.0,79.0,144.17,1665.0,398.2628843784378
1981-12-01,Quindio,0.2986666666666667,73.375,61.0,,144.17,1665.0,398.2628843784378
1981-12-01,Risaralda,0.1366666666666667,71.6923076923077,61.0,,144.17,1665.0,398.2628843784378
1981-12-01,Santander,0.010833333333333334,71.55555555555556,64.0,81.0,144.17,1665.0,398.2628843784378
1981-12-01,Tolima,0.07611111111111112,75.6,64.0,,144.17,1665.0,398.2628843784378
1981-12-01,Valle,0.11806451612903227,73.64516129032258,32.0,87.0,144.17,1665.0,398.2628843784378
1982-01-01,Cauca,0.1,79.84615384615384,71.0,,146.18,1332.0,380.3815674611399
1982-01-01,Cesar,,84.83333333333333,67.0,,146.18,1332.0,380.3815674611399
1982-01-01,Cundinamarca,0.10096774193548387,54.41935483870968,29.0,73.0,146.18,1332.0,380.3815674611399
1982-01-01,Huila,0.015,82.23076923076923,69.0,93.0,146.18,1332.0,380.3815674611399
1982-01-01,Magdalena,,83.12,67.0,96.0,146.18,1332.0,380.3815674611399
1982-01-01,Narino,0.14258064516129035,66.0,32.0,78.0,146.18,1332.0,380.3815674611399
1982-01-01,Quindio,,73.1,51.0,,146.18,1332.0,380.3815674611399
1982-01-01,Risaralda,0.61,71.83333333333333,59.0,,146.18,1332.0,380.3815674611399
1982-01-01,Santander,0.005,71.0,63.0,81.0,146.18,1332.0,380.3815674611399
1982-01-01,Tolima,0.015,76.32142857142857,59.0,,146.18,1332.0,380.3815674611399
1982-01-01,Valle,0.09161290322580647,74.06666666666666,65.0,89.0,146.18,1332.0,380.3815674611399
1982-02-01,Cauca,10.04,80.78571428571429,55.0,,156.43,1066.0,407.05355450777205
1982-02-01,Cesar,,86.85714285714286,71.0,,156.43,1066.0,407.05355450777205
1982-02-01,Cundinamarca,0.06428571428571428,56.0,37.0,71.0,156.43,1066.0,407.05355450777205
1982-02-01,Huila,0.14200000000000002,82.0,70.0,94.0,156.43,1066.0,407.05355450777205
1982-02-01,Magdalena,,84.32142857142857,70.0,95.0,156.43,1066.0,407.05355450777205
1982-02-01,Narino,0.17214285714285713,65.75,32.0,76.0,156.43,1066.0,407.05355450777205
1982-02-01,Quindio,,73.14285714285714,60.0,,156.43,1066.0,407.05355450777205
1982-02-01,Risaralda,0.02,72.48148148148148,60.0,,156.43,1066.0,407.05355450777205
1982-02-01,Santander,0.05,70.35714285714286,64.0,79.0,156.43,1066.0,407.05355450777205
1982-02-01,Tolima,,75.21428571428571,59.0,,156.43,1066.0,407.05355450777205
1982-02-01,Valle,0.14142857142857146,73.85714285714286,32.0,89.0,156.43,1066.0,407.05355450777205
1982-03-01,Cauca,,80.61290322580645,72.0,,148.04,817.0,385.22155730569943
1982-03-01,Cesar,,86.85714285714286,70.0,,148.04,817.0,385.22155730569943
1982-03-01,Cundinamarca,0.11064516129032259,56.38709677419355,35.0,72.0,148.04,817.0,385.22155730569943
1982-03-01,Huila,0.0033333333333333335,82.12903225806451,69.0,95.0,148.04,817.0,385.22155730569943
1982-03-01,Magdalena,,84.39285714285714,70.0,96.0,148.04,817.0,385.22155730569943
1982-03-01,Narino,0.14419354838709683,66.16129032258064,55.0,78.0,148.04,817.0,385.22155730569943
1982-03-01,Quindio,,74.0,50.0,,148.04,817.0,385.22155730569943
1982-03-01,Risaralda,,72.63333333333334,58.0,,148.04,817.0,385.22155730569943
1982-03-01,Santander,0.05333333333333334,71.74193548387096,62.0,78.0,148.04,817.0,385.22155730569943
1982-03-01,Tolima,0.066,75.93548387096774,55.0,,148.04,817.0,385.22155730569943
1982-03-01,Valle,0.22225806451612903,73.83870967741936,64.0,88.0,148.04,817.0,385.22155730569943
1982-04-01,Cauca,,81.08333333333333,71.0,,143.63,741.0,373.7460975129534
1982-04-01,Cesar,,84.37142857142857,70.0,,143.63,741.0,373.7460975129534
1982-04-01,Cundinamarca,0.19655737704918025,56.704918032786885,42.0,70.0,143.63,741.0,373.7460975129534
1982-04-01,Huila,0.0,82.2,66.0,98.0,143.63,741.0,373.7460975129534
1982-04-01,Magdalena,0.22600000000000003,84.54098360655738,73.0,97.0,143.63,741.0,373.7460975129534
1982-04-01,Narino,0.24131147540983608,66.58333333333333,32.0,80.0,143.63,741.0,373.7460975129534
1982-04-01,Quindio,,73.16666666666667,44.0,,143.63,741.0,373.7460975129534
1982-04-01,Risaralda,0.0,71.45901639344262,59.0,,143.63,741.0,373.7460975129534
1982-04-01,Santander,0.18375000000000002,70.78688524590164,63.0,81.0,143.63,741.0,373.7460975129534
1982-04-01,Tolima,0.15533333333333335,75.2,60.0,,143.63,741.0,373.7460975129534
1982-04-01,Valle,0.1672131147540983,73.50819672131148,62.0,90.0,143.63,741.0,373.7460975129534
1982-05-01,,,,,,139.59,817.0,363.2334313989637
1982-06-01,Cauca,,81.85714285714286,72.0,,142.63,998.0,371.14395243523313
1982-06-01,Cesar,,86.33333333333333,73.0,,142.63,998.0,371.14395243523313
1982-06-01,Cundinamarca,0.022666666666666672,56.03333333333333,37.0,70.0,142.63,998.0,371.14395243523313
1982-06-01,Huila,0.01,85.23333333333333,67.0,98.0,142.63,998.0,371.14395243523313
1982-06-01,Magdalena,0.12,85.66666666666667,74.0,96.0,142.63,998.0,371.14395243523313
1982-06-01,Narino,0.006666666666666667,69.56666666666666,57.0,80.0,142.63,998.0,371.14395243523313
1982-06-01,Quindio,,74.13333333333334,60.0,,142.63,998.0,371.14395243523313
1982-06-01,Risaralda,,72.41379310344827,60.0,,142.63,998.0,371.14395243523313
1982-06-01,Santander,0.12909090909090912,71.83333333333333,63.0,83.0,142.63,998.0,371.14395243523313
1982-06-01,Tolima,0.14,77.26666666666667,65.0,,142.63,998.0,371.14395243523313
1982-06-01,Valle,0.013333333333333334,75.0,64.0,90.0,142.63,998.0,371.14395243523313
1982-07-01,Cauca,0.08,81.91379310344827,70.0,,135.51,796.0,352.6166794818652
1982-07-01,Cesar,,87.78947368421052,72.0,,135.51,796.0,352.6166794818652
1982-07-01,Cundinamarca,0.021935483870967745,55.064516129032256,31.0,69.0,135.51,796.0,352.6166794818652
1982-07-01,Huila,0.015,85.32786885245902,67.0,100.0,135.51,796.0,352.6166794818652
1982-07-01,Magdalena,0.02,85.71428571428571,70.0,99.0,135.51,796.0,352.6166794818652
1982-07-01,Narino,0.014032258064516129,70.5,32.0,82.0,135.51,796.0,352.6166794818652
1982-07-01,Quindio,,75.54838709677419,56.0,,135.51,796.0,352.6166794818652
1982-07-01,Risaralda,,74.04918032786885,51.0,88.0,135.51,796.0,352.6166794818652
1982-07-01,Santander,0.025454545454545452,72.40322580645162,62.0,82.0,135.51,796.0,352.6166794818652
1982-07-01,Tolima,,80.1311475409836,61.0,,135.51,796.0,352.6166794818652
1982-07-01,Valle,0.015483870967741935,75.35483870967742,32.0,93.0,135.51,796.0,352.6166794818652
1982-08-01,,,,,,134.94,404.0,351.13345678756474
1982-09-01,Cauca,0.0,80.55555555555556,68.0,,138.27,921.0,359.79859989637305
1982-09-01,Cesar,,86.26666666666667,72.0,,138.27,921.0,359.79859989637305
1982-09-01,Cundinamarca,0.02,56.03333333333333,34.0,72.0,138.27,921.0,359.79859989637305
1982-09-01,Huila,0.006666666666666667,85.73333333333333,71.0,99.0,138.27,921.0,359.79859989637305
1982-09-01,Magdalena,,85.0,73.0,92.0,138.27,921.0,359.79859989637305
1982-09-01,Narino,0.12733333333333335,69.4,57.0,82.0,138.27,921.0,359.79859989637305
1982-09-01,Quindio,,74.13333333333334,59.0,,138.27,921.0,359.79859989637305
1982-09-01,Risaralda,,71.46666666666667,59.0,96.0,138.27,921.0,359.79859989637305
1982-09-01,Santander,0.10250000000000001,71.46666666666667,60.0,81.0,138.27,921.0,359.79859989637305
1982-09-01,Tolima,,80.0909090909091,64.0,,138.27,921.0,359.79859989637305
1982-09-01,Valle,0.137,74.9,63.0,92.0,138.27,921.0,359.79859989637305
1982-10-01,Cauca,,80.46153846153847,70.0,,142.41,1326.0,370.5714805181347
1982-10-01,Cesar,,82.85714285714286,73.0,,142.41,1326.0,370.5714805181347
1982-10-01,Cundinamarca,0.14483870967741938,54.857142857142854,34.0,71.0,142.41,1326.0,370.5714805181347
1982-10-01,Huila,,81.58823529411765,68.0,96.0,142.41,1326.0,370.5714805181347
1982-10-01,Magdalena,,84.2,76.0,89.0,142.41,1326.0,370.5714805181347
1982-10-01,Narino,0.13096774193548388,66.07142857142857,57.0,79.0,142.41,1326.0,370.5714805181347
1982-10-01,Quindio,,71.4,60.0,,142.41,1326.0,370.5714805181347
1982-10-01,Risaralda,,70.4,60.0,81.0,142.41,1326.0,370.5714805181347
1982-10-01,Santander,0.16749999999999998,69.11764705882354,59.0,81.0,142.41,1326.0,370.5714805181347
1982-10-01,Tolima,,73.15384615384616,64.0,,142.41,1326.0,370.5714805181347
1982-10-01,Valle,0.1009677419354839,72.04347826086956,62.0,87.0,142.41,1326.0,370.5714805181347
1982-11-01,Cauca,,79.83333333333333,71.0,,140.12,1694.0,364.6125682901555
1982-11-01,Cesar,,86.6842105263158,70.0,,140.12,1694.0,364.6125682901555
1982-11-01,Cundinamarca,0.08233333333333333,55.833333333333336,32.0,68.0,140.12,1694.0,364.6125682901555
1982-11-01,Huila,,81.6086956521739,69.0,93.0,140.12,1694.0,364.6125682901555
1982-11-01,Magdalena,,84.0,69.0,92.0,140.12,1694.0,364.6125682901555
1982-11-01,Narino,0.19866666666666666,67.76190476190476,56.0,81.0,140.12,1694.0,364.6125682901555
1982-11-01,Quindio,,73.45,55.0,,140.12,1694.0,364.6125682901555
