month,price_per_pound
Feb-71,46.60
Mar-71,48.01
Apr-71,46.88
May-71,48.19
Jun-71,47.46
Jul-71,47.03
Aug-71,47.59
Sep-71,45.75
Oct-71,44.78
Nov-71,45.81
Dec-71,48.30
Jan-72,46.93
Feb-72,47.34
Mar-72,48.23
Apr-72,47.88
May-72,49.06
Jun-72,50.52
Jul-72,58.07
Aug-72,56.47
Sep-72,55.01
Oct-72,55.43
Nov-72,55.79
Dec-72,57.22
Jan-73,59.97
Feb-73,67.96
Mar-73,66.38
Apr-73,60.56
May-73,66.19
Jun-73,66.17
Jul-73,63.54
Aug-73,62.36
Sep-73,62.20
Oct-73,64.50
Nov-73,65.19
Dec-73,66.57
Jan-74,71.42
Feb-74,76.69
Mar-74,73.46
Apr-74,72.30
May-74,73.02
Jun-74,74.11
Jul-74,71.08
Aug-74,64.55
Sep-74,56.61
Oct-74,58.78
Nov-74,61.28
Dec-74,60.78
Jan-75,57.84
Feb-75,55.47
Mar-75,52.05
Apr-75,49.64
May-75,52.85
Jun-75,57.93
Jul-75,67.67
Aug-75,85.48
Sep-75,82.88
Oct-75,82.39
Nov-75,79.52
Dec-75,85.25
Jan-76,94.85
Feb-76,101.22
Mar-76,101.60
Apr-76,124.48
May-76,137.46
Jun-76,151.58
Jul-76,139.24
Aug-76,155.73
Sep-76,161.36
Oct-76,175.34
Nov-76,184.99
Dec-76,209.11
Jan-77,220.96
Feb-77,247.48
Mar-77,306.17
Apr-77,319.67
May-77,287.26
Jun-77,264.09
Jul-77,223.52
Aug-77,201.40
Sep-77,192.05
Oct-77,173.02
Nov-77,199.55
Dec-77,204.82
Jan-78,208.16
Feb-78,199.59
Mar-78,177.10
Apr-78,180.57
May-78,171.63
Jun-78,170.50
Jul-78,135.80
Aug-78,140.22
Sep-78,157.33
Oct-78,155.65
Nov-78,148.16
Dec-78,133.07
Jan-79,130.59
Feb-79,125.01
Mar-79,132.31
Apr-79,140.62
May-79,151.79
Jun-79,195.18
Jul-79,205.66
Aug-79,199.45
Sep-79,209.20
Oct-79,211.59
Nov-79,208.62
Dec-79,196.28
Jan-80,170.67
Feb-80,166.83
Mar-80,186.38
Apr-80,182.81
May-80,192.54
Jun-80,183.41
Jul-80,157.67
Aug-80,137.99
Sep-80,127.88
Oct-80,128.09
Nov-80,116.86
Dec-80,123.21
Jan-81,129.98
Feb-81,127.11
Mar-81,127.93
Apr-81,130.20
May-81,127.92
Jun-81,113.94
Jul-81,122.01
Aug-81,126.09
Sep-81,128.02
Oct-81,139.10
Nov-81,146.26
Dec-81,144.17
Jan-82,146.18
Feb-82,156.43
Mar-82,148.04
Apr-82,143.63
May-82,139.59
Jun-82,142.63
Jul-82,135.51
Aug-82,134.94
Sep-82,138.27
Oct-82,142.41
Nov-82,140.12
Dec-82,136.85
Jan-83,131.96
Feb-83,128.93
Mar-83,127.04
Apr-83,126.76
May-83,130.47
Jun-83,129.33
Jul-83,130.34
Aug-83,131.54
Sep-83,134.31
Oct-83,142.73
Nov-83,146.55
Dec-83,148.66
Jan-84,145.71
Feb-84,147.91
Mar-84,150.32
Apr-84,152.21
May-84,152.25
Jun-84,149.30
Jul-84,146.11
Aug-84,147.70
Sep-84,144.23
Oct-84,138.87
Nov-84,142.21
Dec-84,142.80
Jan-85,147.39
Feb-85,146.08
Mar-85,143.88
Apr-85,143.47
May-85,144.69
Jun-85,143.89
Jul-85,137.07
Aug-85,135.48
Sep-85,135.48
Oct-85,142.51
Nov-85,157.65
Dec-85,198.95
Jan-86,239.87
Feb-86,230.19
Mar-86,241.60
Apr-86,228.04
May-86,213.34
Jun-86,179.08
Jul-86,174.31
Aug-86,175.86
Sep-86,201.50
Oct-86,179.59
Nov-86,158.69
Dec-86,138.23
Jan-87,125.53
Feb-87,122.96
