,month/year,thousands_of_60kg_bags_production
551,2001-12-01,1257.0
552,2002-01-01,824.0
553,2002-02-01,808.0
554,2002-03-01,778.0
555,2002-04-01,942.0
556,2002-05-01,1112.0
557,2002-06-01,1052.0
558,2002-07-01,868.0
559,2002-08-01,751.0
560,2002-09-01,778.0
561,2002-10-01,1064.0
562,2002-11-01,1380.0
563,2002-12-01,1257.0
564,2003-01-01,924.0
565,2003-02-01,788.0
566,2003-03-01,644.0
567,2003-04-01,1078.0
568,2003-05-01,972.0
569,2003-06-01,1077.0
570,2003-07-01,1072.0
571,2003-08-01,661.0
572,2003-09-01,795.0
573,2003-10-01,1137.0
574,2003-11-01,1176.0
575,2003-12-01,1244.0
576,2004-01-01,1171.0
577,2004-02-01,770.0
578,2004-03-01,811.0
579,2004-04-01,738.0
580,2004-05-01,1091.0
581,2004-06-01,954.0
582,2004-07-01,774.0
583,2004-08-01,722.0
584,2004-09-01,465.0
585,2004-10-01,1077.0
586,2004-11-01,1337.0
587,2004-12-01,1330.0
588,2005-01-01,1100.0
589,2005-02-01,1023.0
590,2005-03-01,726.0
591,2005-04-01,873.0
592,2005-05-01,955.0
593,2005-06-01,948.0
594,2005-07-01,738.0
595,2005-08-01,646.0
596,2005-09-01,676.0
597,2005-10-01,1131.0
598,2005-11-01,1237.0
599,2005-12-01,1066.0
600,2006-01-01,1102.0
601,2006-02-01,888.0
602,2006-03-01,713.0
603,2006-04-01,778.5
604,2006-05-01,1087.0
605,2006-06-01,1174.0
606,2006-07-01,820.5
607,2006-08-01,1142.0
608,2006-09-01,813.0
609,2006-10-01,1024.0
610,2006-11-01,1242.0
611,2006-12-01,1294.0
612,2007-01-01,963.0
613,2007-02-01,1001.0
614,2007-03-01,776.0
615,2007-04-01,769.0
616,2007-05-01,994.0
617,2007-06-01,1219.0
618,2007-07-01,995.0
619,2007-08-01,990.0
620,2007-09-01,897.0
621,2007-10-01,1129.0
622,2007-11-01,1522.0
623,2007-12-01,1363.0
624,2008-01-01,1404.0
625,2008-02-01,1090.0
626,2008-03-01,872.0
627,2008-04-01,886.0
628,2008-05-01,820.0
629,2008-06-01,1046.0
630,2008-07-01,891.0
631,2008-08-01,715.0
632,2008-09-01,777.0
633,2008-10-01,939.0
634,2008-11-01,933.0
635,2008-12-01,1105.0
636,2009-01-01,876.0
637,2009-02-01,868.0
638,2009-03-01,765.0
639,2009-04-01,345.0
640,2009-05-01,702.0
641,2009-06-01,685.0
642,2009-07-01,582.0
643,2009-08-01,397.0
644,2009-09-01,467.0
645,2009-10-01,544.0
646,2009-11-01,760.0
647,2009-12-01,821.0
648,2010-01-01,515.0
649,2010-02-01,648.0
650,2010-03-01,629.0
651,2010-04-01,647.0
652,2010-05-01,822.0
653,2010-06-01,780.0
654,2010-07-01,787.0
655,2010-08-01,615.0
656,2010-09-01,530.0
657,2010-10-01,807.0
658,2010-11-01,979.0
659,2010-12-01,1164.0
660,2011-01-01,908.0
661,2011-02-01,764.0
662,2011-03-01,779.0
663,2011-04-01,523.0
664,2011-05-01,673.0
665,2011-06-01,471.0
666,2011-07-01,530.0
667,2011-08-01,466.0
668,2011-09-01,459.0
669,2011-10-01,656.0
670,2011-11-01,845.0
671,2011-12-01,735.0
672,2012-01-01,535.0
673,2012-02-01,571.0
674,2012-03-01,576.0
675,2012-04-01,580.0
676,2012-05-01,689.0
677,2012-06-01,714.0
678,2012-07-01,668.0
679,2012-08-01,565.0
680,2012-09-01,519.0
681,2012-10-01,653.0
682,2012-11-01,770.0
683,2012-12-01,904.0
684,2013-01-01,877.0
685,2013-02-01,625.0
686,2013-03-01,617.0
687,2013-04-01,970.0
688,2013-05-01,937.0
689,2013-06-01,913.0
690,2013-07-01,1031.0
691,2013-08-01,770.0
692,2013-09-01,860.0
693,2013-10-01,1058.0
694,2013-11-01,1113.0
695,2013-12-01,1115.0
696,2014-01-01,1011.0
697,2014-02-01,874.0
698,2014-03-01,828.0
699,2014-04-01,832.0
700,2014-05-01,1050.0
701,2014-06-01,944.0
702,2014-07-01,1236.0
703,2014-08-01,1151.0
704,2014-09-01,912.0
705,2014-10-01,1101.0
706,2014-11-01,1115.0
707,2014-12-01,1086.0
708,2015-01-01,1088.0
709,2015-02-01,1029.0
710,2015-03-01,800.0
711,2015-04-01,924.0
712,2015-05-01,1165.0
713,2015-06-01,1240.0
714,2015-07-01,1463.0
715,2015-08-01,1264.0
716,2015-09-01,1058.0
717,2015-10-01,1368.0
718,2015-11-01,1322.0
719,2015-12-01,1454.0
720,2016-01-01,1136.0
721,2016-02-01,1096.0
722,2016-03-01,944.0
723,2016-04-01,1043.0
724,2016-05-01,1163.0
725,2016-06-01,1158.0
726,2016-07-01,1102.0
727,2016-08-01,1189.0
728,2016-09-01,1034.0
729,2016-10-01,1395.0
730,2016-11-01,1653.0
731,2016-12-01,1319.0
732,2017-01-01,1275.0
733,2017-02-01,1293.0
734,2017-03-01,1020.0
735,2017-04-01,834.0
736,2017-05-01,901.0
737,2017-06-01,1049.0
738,2017-07-01,1373.0
739,2017-08-01,1294.0
740,2017-09-01,1228.0
741,2017-10-01,1073.0
742,2017-11-01,1304.0
743,2017-12-01,1550.0
744,2018-01-01,1131.0
745,2018-02-01,1212.0
746,2018-03-01,1037.0
747,2018-04-01,874.0
748,2018-05-01,1188.0
749,2018-06-01,1087.0
750,2018-07-01,1051.0
751,2018-08-01,1258.0
752,2018-09-01,1050.0
753,2018-10-01,1086.0
754,2018-11-01,1300.0
755,2018-12-01,1283.0
756,2019-01-01,1296.0
757,2019-02-01,1106.0
758,2019-03-01,914.0
759,2019-04-01,1031.0
760,2019-05-01,1115.0
761,2019-06-01,1211.0
762,2019-07-01,1317.0
763,2019-08-01,1119.0
764,2019-09-01,1088.0
765,2019-10-01,1369.0
766,2019-11-01,1506.0
