month/year,thousands_of_60kg_bags_production
2008-01-01,1404.0
2008-02-01,1090.0
2008-03-01,872.0
2008-04-01,886.0
2008-05-01,820.0
2008-06-01,1046.0
2008-07-01,891.0
2008-08-01,715.0
2008-09-01,777.0
2008-10-01,939.0
2008-11-01,933.0
2008-12-01,1105.0
2009-01-01,876.0
2009-02-01,868.0
2009-03-01,765.0
2009-04-01,345.0
2009-05-01,702.0
2009-06-01,685.0
2009-07-01,582.0
2009-08-01,397.0
2009-09-01,467.0
2009-10-01,544.0
2009-11-01,760.0
2009-12-01,821.0
2010-01-01,515.0
2010-02-01,648.0
2010-03-01,629.0
2010-04-01,647.0
2010-05-01,822.0
2010-06-01,780.0
2010-07-01,787.0
2010-08-01,615.0
2010-09-01,530.0
2010-10-01,807.0
2010-11-01,979.0
2010-12-01,1164.0
2011-01-01,908.0
2011-02-01,764.0
2011-03-01,779.0
2011-04-01,523.0
2011-05-01,673.0
2011-06-01,471.0
2011-07-01,530.0
2011-08-01,466.0
2011-09-01,459.0
2011-10-01,656.0
2011-11-01,845.0
2011-12-01,735.0
2012-01-01,535.0
2012-02-01,571.0
2012-03-01,576.0
2012-04-01,580.0
2012-05-01,689.0
2012-06-01,714.0
2012-07-01,668.0
2012-08-01,565.0
2012-09-01,519.0
2012-10-01,653.0
2012-11-01,770.0
2012-12-01,904.0
2013-01-01,877.0
2013-02-01,625.0
2013-03-01,617.0
2013-04-01,970.0
2013-05-01,937.0
2013-06-01,913.0
2013-07-01,1031.0
2013-08-01,770.0
2013-09-01,860.0
2013-10-01,1058.0
2013-11-01,1113.0
2013-12-01,1115.0
2014-01-01,1011.0
2014-02-01,874.0
2014-03-01,828.0
2014-04-01,832.0
2014-05-01,1050.0
2014-06-01,944.0
2014-07-01,1236.0
2014-08-01,1151.0
2014-09-01,912.0
2014-10-01,1101.0
2014-11-01,1115.0
2014-12-01,1086.0
2015-01-01,1088.0
2015-02-01,1029.0
2015-03-01,800.0
2015-04-01,924.0
2015-05-01,1165.0
2015-06-01,1240.0
2015-07-01,1463.0
2015-08-01,1264.0
2015-09-01,1058.0
2015-10-01,1368.0
2015-11-01,1322.0
2015-12-01,1454.0
2016-01-01,1136.0
2016-02-01,1096.0
2016-03-01,944.0
2016-04-01,1043.0
2016-05-01,1163.0
2016-06-01,1158.0
2016-07-01,1102.0
2016-08-01,1189.0
2016-09-01,1034.0
2016-10-01,1395.0
2016-11-01,1653.0
2016-12-01,1319.0
2017-01-01,1275.0
2017-02-01,1293.0
2017-03-01,1020.0
2017-04-01,834.0
2017-05-01,901.0
2017-06-01,1049.0
2017-07-01,1373.0
2017-08-01,1294.0
2017-09-01,1228.0
2017-10-01,1073.0
2017-11-01,1304.0
2017-12-01,1550.0
2018-01-01,1131.0
2018-02-01,1212.0
2018-03-01,1037.0
2018-04-01,874.0
2018-05-01,1188.0
2018-06-01,1087.0
2018-07-01,1051.0
2018-08-01,1258.0
2018-09-01,1050.0
2018-10-01,1086.0
2018-11-01,1300.0
2018-12-01,1283.0
2019-01-01,1296.0
2019-02-01,1106.0
2019-03-01,914.0
2019-04-01,1031.0
2019-05-01,1115.0
2019-06-01,1211.0
2019-07-01,1317.0
2019-08-01,1119.0
2019-09-01,1088.0
2019-10-01,1369.0
2019-11-01,1506.0
