date,excelso_price_cents_per_pound
1952-09-01,58.29
1952-10-01,57.44
1952-11-01,56.88
1952-12-01,55.97
1953-01-01,55.68
1953-02-01,56.3
1953-03-01,59.1
1953-04-01,55.88
1953-05-01,55.65
1953-06-01,56.15
1953-07-01,58.75
1953-08-01,61.15
1953-09-01,63.92
1953-10-01,63.4
1953-11-01,65.4
1953-12-01,66.43
1954-01-01,71.8
1954-02-01,77.65
1954-03-01,91.4
1954-04-01,91.1
1954-05-01,85.1
1954-06-01,84.73
1954-07-01,83.94
1954-08-01,80.05
1954-09-01,74.37
1954-10-01,71.5
1954-11-01,75.95
1954-12-01,72.7
1955-01-01,70.85
1955-02-01,60.5
1955-03-01,59.27
1955-04-01,61.47
1955-05-01,59.0
1955-06-01,62.45
1955-07-01,61.56
1955-08-01,64.27
1955-09-01,72.03
1955-10-01,70.97
1955-11-01,68.21
1955-12-01,64.3
1956-01-01,66.0
1956-02-01,73.05
1956-03-01,70.75
1956-04-01,67.45
1956-05-01,70.8
1956-06-01,76.65
1956-07-01,78.15
1956-08-01,80.45
1956-09-01,81.08
1956-10-01,78.28
1956-11-01,74.7
1956-12-01,70.3
1957-01-01,72.4
1957-02-01,70.64
1957-03-01,68.14
1957-04-01,65.45
1957-05-01,66.33
1957-06-01,67.13
1957-07-01,63.5
1957-08-01,63.2
1957-09-01,58.85
1957-10-01,56.0
1957-11-01,57.4
1957-12-01,58.2
1958-01-01,56.8
1958-02-01,53.65
1958-03-01,54.18
1958-04-01,54.7
1958-05-01,54.38
1958-06-01,53.85
1958-07-01,52.93
1958-08-01,51.65
1958-09-01,50.25
1958-10-01,50.88
1958-11-01,48.73
1958-12-01,46.08
1959-01-01,46.68
1959-02-01,46.23
1959-03-01,45.08
1959-04-01,45.55
1959-05-01,44.83
1959-06-01,44.3
1959-07-01,44.8
1959-08-01,45.13
1959-09-01,45.83
1959-10-01,45.03
1959-11-01,45.18
1959-12-01,43.95
1960-01-01,45.68
1960-02-01,45.95
1960-03-01,45.1
1960-04-01,45.2
1960-05-01,44.73
1960-06-01,44.38
1960-07-01,44.55
1960-08-01,45.15
1960-09-01,44.85
1960-10-01,44.9
1960-11-01,44.35
1960-12-01,43.85
1961-01-01,44.48
1961-02-01,44.58
1961-03-01,44.3
1961-04-01,43.9
1961-05-01,43.5
1961-06-01,43.33
1961-07-01,43.5
1961-08-01,43.53
1961-09-01,43.33
1961-10-01,43.15
1961-11-01,43.05
1961-12-01,42.8
1962-01-01,42.8
1962-02-01,42.78
1962-03-01,42.05
1962-04-01,41.4
1962-05-01,40.45
1962-06-01,39.5
1962-07-01,39.88
1962-08-01,40.15
1962-09-01,40.45
1962-10-01,39.78
1962-11-01,39.85
1962-12-01,40.1
1963-01-01,40.5
1963-02-01,39.43
1963-03-01,39.78
1963-04-01,39.65
1963-05-01,39.15
1963-06-01,39.25
1963-07-01,39.58
1963-08-01,39.5
1963-09-01,39.38
1963-10-01,39.48
1963-11-01,39.6
1963-12-01,39.28
1964-01-01,45.0
1964-02-01,45.7
1964-03-01,49.95
1964-04-01,48.55
1964-05-01,49.28
1964-06-01,48.6
1964-07-01,49.33
1964-08-01,50.58
1964-09-01,50.05
1964-10-01,50.08
1964-11-01,49.9
1964-12-01,48.6
1965-01-01,48.88
1965-02-01,49.68
1965-03-01,46.11
1965-04-01,46.25
1965-05-01,45.56
1965-06-01,46.46
1965-07-01,46.52
1965-08-01,47.39
1965-09-01,47.29
1965-10-01,47.85
1965-11-01,48.54
1965-12-01,48.8
1966-01-01,47.93
1966-02-01,46.13
1966-03-01,45.27
1966-04-01,45.27
1966-05-01,44.92
1966-06-01,43.87
1966-07-01,43.59
1966-08-01,43.62
1966-09-01,42.78
1966-10-01,42.27
1966-11-01,42.24
1966-12-01,41.59
1967-01-01,40.56
1967-02-01,40.29
1967-03-01,39.37
1967-04-01,40.59
1967-05-01,42.33
1967-06-01,43.24
1967-07-01,42.94
1967-08-01,41.0
1967-09-01,41.04
1967-10-01,40.43
1967-11-01,41.31
1967-12-01,40.61
1968-01-01,41.28
1968-02-01,41.42
1968-03-01,42.01
1968-04-01,42.19
1968-05-01,41.99
1968-06-01,42.28
1968-07-01,41.98
1968-08-01,41.29
1968-09-01,40.73
1968-10-01,40.76
1968-11-01,40.49
1968-12-01,39.5
1969-01-01,39.58
1969-02-01,40.19
1969-03-01,39.62
1969-04-01,38.9
1969-05-01,38.71
1969-06-01,38.06
1969-07-01,37.27
1969-08-01,38.86
1969-09-01,42.94
1969-10-01,49.18
1969-11-01,48.48
1969-12-01,49.53
1970-01-01,53.57
1970-02-01,53.95
1970-03-01,55.12
1970-04-01,56.56
1970-05-01,57.2
1970-06-01,56.71
1970-07-01,56.98
1970-08-01,55.65
1970-09-01,54.63
1970-10-01,52.79
1970-11-01,48.62
1970-12-01,46.34
1971-01-01,47.5
1971-02-01,46.6
